UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Deerfield Beach_Oveta McKeithen Recreational Complex,7.29E-07,4.94E-06,0,2.34E-06,0,0,3.48E-06,3.49E-06,0,1.87E-08,8.42E-07,0,0,0,0,0,5.84E-06,0,0,0,0,0,1.41E-05,-0.047576141,1,Biodiversity
Deerfield Beach_Pastor Willie James Ford Sr. Linear Park,4.41E-05,2.88E-05,2.17E-05,0,0,0,7.20E-07,9.36E-06,0,0,0,0,0,0,0,0,1.39E-05,0,0,0,0,0,0.000126576,-0.004379221,1,area
Deerfield Beach_Pioneer Park,1.18E-05,2.18E-05,1.96E-06,1.56E-05,8.62E-06,0,1.37E-05,1.86E-05,1.02E-08,4.35E-07,1.11E-06,4.78E-08,7.21E-07,1.80E-08,0,0,1.26E-05,0,0.000582496,-0.000582496,6.12E-05,-6.12E-05,5.97E-06,-0.063359956,1,tree
Deerfield Beach_Sullivan Park,2.42E-05,1.84E-05,2.49E-06,3.57E-05,1.52E-05,0,2.90E-05,1.45E-05,5.18E-07,3.32E-06,1.03E-06,8.50E-07,7.01E-08,0,0,0,2.53E-05,0,0,0,2.75E-05,-2.75E-05,5.96E-06,-0.062088703,1,water
Deerfield Beach_Teen Center,6.96E-05,1.70E-05,0.000112476,0,3.15E-06,0,1.89E-06,1.76E-05,1.80E-06,0,0,7.20E-07,0,5.45E-06,0,0,2.76E-05,0,0,0,0,0,0.000129129,-0.024641174,1,grassland
Deerfield Beach_Tivoli Sand Pines Preserve,3.53E-05,1.73E-06,1.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43E-05,-5.43E-05,0.000126024,0,1,area
Deerfield Beach_Trailhead Park,1.66E-05,3.62E-05,1.10E-05,9.83E-06,1.10E-05,0,2.17E-05,1.91E-05,6.89E-07,4.10E-06,2.46E-06,3.09E-06,7.00E-06,4.31E-06,6.48E-07,7.60E-06,3.12E-05,0,0,0,0,0,5.77E-05,0.014136789,1,tree
Deerfield Beach_Villages of Hillsboro Park,0.000106314,0.000153169,6.65E-05,3.65E-06,5.59E-06,0,5.75E-05,7.99E-05,4.26E-06,4.45E-05,1.04E-06,2.09E-06,1.83E-05,2.20E-05,7.38E-06,4.61E-06,5.54E-05,0,0.00415298,-0.00415298,0.000525688,-0.000525688,8.37E-05,-0.431918282,1,tree
Fort Lauderdale_Ann Herman Park,3.07E-05,2.73E-05,0,0.000161117,0.000135405,0,7.58E-06,9.84E-05,6.77E-06,2.28E-05,2.58E-05,1.11E-05,2.25E-06,2.59E-05,0,0,2.77E-05,0,0.001282051,-0.001282051,0.000515582,-0.000515582,4.13E-05,0.213901929,1,water
Fort Lauderdale_Annie Beck Park,1.21E-05,1.32E-05,2.14E-06,4.28E-07,1.09E-07,0,1.28E-05,2.73E-05,2.41E-06,7.18E-07,3.51E-07,1.49E-06,7.26E-07,0,1.63E-06,8.01E-07,3.34E-05,0,0,0,0.00015071,-0.00015071,0.000685838,-0.02580664,1,Biodiversity
