UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Fort Lauderdale_Middle River Terrace Park,7.086643024,8.898811175,1.681977828,0,0.436130925,0,1.300487082,2.127112318,0,0.519095072,0.361851954,0.619027778,0.457515873,0,1.10589301,0.445252761,3.686534535,6,5.92,0.08,5.8975,0.1025,1.816704605,0.163359721,1,tree
Fort Lauderdale_Mills Pond Park,3.25769228,2.305998335,2.191362915,0.680756521,3.155518523,0,5.364387529,1.443842477,0.184156926,0.197449495,0.28163438,1.166660354,0.740503968,0.066805556,0,0.185546898,4.166933844,5,6.340909091,-1.340909091,5.254416667,-0.254416667,2.111117474,0.311592128,1,mean_ndvi
Fort Lauderdale_Northfork Riverfront Park,2.313737055,2.51079243,1.735290099,0.346002165,0.520323718,0,2.952638986,3.003646409,0.208217713,0.625640901,0.534702062,0.27997619,0.752530525,0.421540765,0,0.608995851,3.091548465,3,3.233333333,-0.233333333,3.066916667,-0.066916667,2.92093568,-0.288648094,1,Biodiversity
Fort Lauderdale_Osswald Park,2.384724845,1.224355561,1.450369603,1.231268759,3.383279443,0,2.447812937,0.799750888,0.098228771,0.36490787,0.321852814,0.894860945,0.312240079,0.065505952,0,0.27313148,3.906543387,6,5.9,0.1,5.94225,0.05775,1.812121942,0.287367775,1,Biodiversity
Fort Lauderdale_Palm Aire Village Park,4.979239719,5.323453616,1.900394841,0.468383464,1.07508658,0,3.759202686,4.202878177,0.25653269,2.494692641,0.721084194,0.160509629,0.516377234,3.459445971,0.004166667,0,4.359211289,3,8,-5,3.023428488,-0.023428488,5.071767551,-0.40882432,5,tree
Fort Lauderdale_Peter Feldman Park,6.66838882,3.435692544,2.385280012,0.078896159,0.187910048,0,3.28224094,4.161856671,0.102284632,0.417632701,1.00513807,0.21934614,0.879047675,0,0.57618913,0.399102731,4.829434205,3,5.783333333,-2.783333333,3.314571429,-0.314571429,2.844470262,-0.287368006,1,area
Fort Lauderdale_Riverland Park,4.540393232,1.715891275,1.846089064,0.489597583,0.559503788,0,1.279392177,1.387228688,0.545020771,0.275818043,0.197497114,1.155599151,0.416727411,0.336248168,0,1.788459221,3.294414183,5,3,2,4.870919913,0.129080087,1.647234938,0.022826732,1,area
Fort Lauderdale_Riverland Preserve,13.63860663,11.48570837,0.920816683,12.38082158,8.832139985,0,2.267548868,15.73434622,0.332483405,0.602391234,0.58381266,2.520080586,0.801981574,2.147083944,0.004545455,0.73992427,10.86720853,3,4.276315789,-1.276315789,3.150416667,-0.150416667,3.670362166,0.218279863,1,mean_ndwi
Fort Lauderdale_Riverland Woods Park,8.108388084,13.294566,0.8729107,6.244989191,3.243043956,0,4.614163711,10.09597811,1.557680722,0.712832612,0.616982628,0.560695346,0.392451049,0.882485348,2.403192904,0.966954004,9.7851023,4,4.162962963,-0.162962963,4.000916667,-0.000916667,5.358915239,0.004095398,1,tree
Fort Lauderdale_Sailboat Bend Preserve,2.240709249,4.19210373,0.489107448,0.250409271,0.530294067,0,2.798588079,2.95562636,0.58257684,0.349719475,0.682820568,2.039942641,0.509642399,0.215942335,0,0.084010989,2.921149406,5,3,2,4.968857143,0.031142857,2.618598865,-0.544679106,1,tree
