UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Plantation_Seminole Park,0.030415994,0.044988628,0.045795733,0.014440363,0.064793774,0,0.02807819,0.043490417,0.031648846,0.00816038,0.016838141,0.009781619,0.006236657,0,5.41E-06,0.000998759,0.063018749,0.705882353,0.740367577,-0.034485224,0.707863721,-0.001981368,0.071673258,-0.280545657,1,herbaceous_wetland,,,,
Plantation_Sunset Park,0.032525784,0.027451099,0.028209355,0.001176979,0.029696936,0,0.023265058,0.017865936,0.003727827,0.003496956,0.00163518,0.007989953,0.003039378,0,0,0.012070844,0.021427304,0.660377358,0.623744639,0.036632719,0.656141611,0.004235747,0.064728776,-0.413840788,1,area,,,,
Plantation_Tara Park,0.077351066,0.10792922,0.071960536,0.00124762,0.042877391,0,0.039086742,0.035163488,0.017998696,0.015582952,0.020653294,0.009737428,0.019712494,0.000305641,0.004691884,0.007071599,0.052775104,0.75,0.41025641,0.33974359,0.736874339,0.013125661,0.066931192,-0.166302145,1,tree,,,,
Plantation_Volunteer Park,0.016404577,0.015331347,0.006194355,0.001685814,0.02395971,0,0.012412105,0.01769431,0.000524506,0.001706876,0.001139205,0.001953274,0.000391137,0,0.002696874,0.005418705,0.019078149,0.616666667,0.693716797,-0.07705013,0.62016885,-0.003502183,0.01955896,-0.36027523,1,herbaceous_wetland,,,,
Pompano Beach_Annie Adderly Gillis Park,0.118258315,0.034729251,0.134025953,0.000386599,0.020293667,0,0.084107244,0.088675506,0.032801072,0.041484418,0,0.027391675,0.041209174,0.00010295,0.029661602,0.109747642,0.107447859,1,0.379868682,0.620131318,0.877166258,0.122833742,0.110949829,-0.389316962,1,grassland,,,,
Pompano Beach_Bill Keith Park,0.138128085,0.058331471,0.144909313,0.000209155,0.018968073,0,0.077823098,0.131928169,0.018287215,0.065146078,0,0.01013207,0.043280919,0,0.03200239,0.12704001,0.112745885,0.285714286,0.760104652,-0.474390366,0.386078445,-0.100364159,0.11300781,-0.383386008,1,grassland,,,,
Pompano Beach_Canine Corner Dog Park,0.112327417,0.055132091,0.057350331,0.001594759,0.00859142,0,0.075925334,0.161612463,0.029985849,0.074008557,0,0.041769352,0.135816876,0,0.019748431,0.026302915,0.096656388,0.169014085,0.367475308,-0.198461223,0.208703946,-0.039689861,0.086630007,-0.073153508,1,mean_ndwi,,,,
Pompano Beach_Exchange Club Park,0.073906382,0.076133237,0.041360058,0.004146632,0.008661373,0,0.029115072,0.089824127,0.029934274,0.010713772,0,0.019420119,0.038155051,0.006315518,0.00642759,0.008443166,0.024355906,0.346153846,0.537963358,-0.191809512,0.394999685,-0.048845839,0.048735931,0.264172322,1,mean_ndwi,,,,
Pompano Beach_Founders Park,0.152409291,0.045038915,0.186902045,0.000879717,0.017353282,0,0.0838631,0.178677647,0.020133529,0.064327596,0,0.013939753,0.063131367,0,0.016261503,0.080402686,0.084737519,0.8,0.685613438,0.114386562,0.787014993,0.012985007,0.112253498,-0.374152085,1,grassland,,,,
Pompano Beach_Harbor's Edge Park,0.085625733,0.046546162,0.031096072,0.006871073,0.010777128,0,0.04391996,0.123960917,0.026927106,0.046426793,0,0.043740295,0.135128515,0,0.01407622,0.003303369,0.094228271,0.487394958,0.460645251,0.026749707,0.490338188,-0.00294323,0.085264319,-0.018783688,1,Athletic_facility,,,,
