UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Woodmont Natural Area,4.84E-05,4.48E-05,3.73E-05,1.36E-06,6.27E-05,0,5.70E-05,9.98E-05,2.71E-05,0.000289356,1.75E-05,4.73E-05,5.48E-05,3.02E-05,0.000134338,1.04E-05,0.000123254,0.015151515,0.012820513,0.002331002,0.015141872,9.64E-06,5.86E-05,-0.036231368,1,Kids_Playground
Coconut Creek_Community Center and Fitness Center South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coconut Creek_Cypress Park,4.93E-07,1.08E-06,0,0,6.24E-07,0,1.38E-07,8.28E-07,0,5.14E-07,0,4.45E-09,0,0,0,0,4.90E-08,0,0,0,2.88E-05,-2.88E-05,2.55E-06,-0.04329561,1,tree
Coconut Creek_George S. Gerber Memorial Park,4.90E-08,4.22E-07,1.53E-07,0,7.96E-08,0,0,1.03E-06,0,4.41E-07,0,0,0,9.79E-08,0,0,3.73E-07,0,0,0,0,0,2.53E-06,-0.034803046,1,mean_ndwi
Coconut Creek_Lakeside Park,0.004906338,0.001270557,5.49E-05,1.29E-06,0.000108087,0,0.004731561,0.002409982,5.78E-05,4.62E-05,4.11E-05,7.17E-06,1.11E-05,9.64E-05,0.00347854,0.001089181,0.001335915,0,0.022222222,-0.022222222,0.004907303,-0.004907303,0.003285561,-0.062350402,1,area
Coconut Creek_Oak Trails Park,0.017141449,0.01082236,0.00126435,3.53E-07,0.000120269,0,0.0161279,0.011644086,0.000371639,0.000438473,0.000140076,8.38E-05,0.001415154,0.000831942,0.003308474,0.002193317,0.004404946,0.2,0.003861004,0.196138996,0.167473056,0.032526944,0.003825559,-0.446393643,1,area
Coconut Creek_Recreation Complex and Fitness Center North,0.010876842,0.003021992,0.000487032,5.66E-07,0.000199979,0,0.012011105,0.01138882,0.000139076,0.00135006,1.49E-05,0,7.68E-05,3.50E-05,0.004105701,0.002179313,0.003100641,0,0.023851405,-0.023851405,0.004707036,-0.004707036,0.003209363,-0.21341799,1,mean_ndvi
Coconut Creek_Rowe Activity Center and Donaldson Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coconut Creek_Sabal Pines Park,0.000745949,0.000353426,0.00025838,6.67E-07,3.70E-05,0,0.000931448,0.001096735,0,0.000585612,0,0,0,1.87E-07,0.000110663,0.000850173,1.52E-05,0,0.051978892,-0.051978892,0.00055431,-0.00055431,0.002933993,-0.102132857,2,mean_ndwi
Coconut Creek_Windmill Park and Dog Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coconut Creek_Winston Park Nature Trail,6.86E-07,1.03E-06,1.04E-07,0,2.45E-08,0,7.41E-07,7.41E-07,0,2.51E-07,0,0,2.51E-07,0,0,0,6.86E-07,0,0,0,2.12E-05,-2.12E-05,2.47E-06,-0.010327962,1,tree
Cooper City_Bill Lips Sports Complex,0,0,0,0,0,0,2.24E-06,2.24E-06,0,0,4.41E-07,0,0,2.24E-06,0,0,0,0,0,0,0,0,3.21E-05,-5.45E-06,1,mean_ndvi
Cooper City_Chase Park,8.41E-06,1.80E-05,4.03E-06,3.35E-05,1.01E-05,0,4.96E-06,2.05E-06,0,4.10E-06,2.04E-07,1.24E-07,8.47E-07,2.46E-05,1.77E-07,1.39E-07,1.55E-05,0,0,0,0,0,1.90E-05,0.107228911,1,water
Cooper City_Christie Schafale Park and Dog Park,2.93E-06,4.63E-06,1.11E-06,3.59E-06,1.02E-06,0,2.39E-06,4.24E-07,0,0,8.44E-08,1.96E-09,3.06E-08,0,0,1.26E-07,3.00E-06,0,0.000441306,-0.000441306,9.95E-05,-9.95E-05,2.08E-05,0.020756284,1,tree
Cooper City_Dawn Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Cooper City_Diamond Head Park,0,0,0,0,0,0,1.15E-06,9.70E-06,0,0,0,0,0,0,0,3.46E-07,0,0,0,0,0,0,4.62E-05,-0.000483266,1,mean_ndwi
Cooper City_Ellie Kozak Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,
Cooper City_Flamingo Park,4.49E-06,8.66E-06,2.24E-06,0,1.57E-05,0,4.49E-06,6.73E-06,0,8.98E-06,0,0,0,1.54E-05,0,0,3.93E-06,0,0,0,0,0,3.23E-05,-0.008050344,1,herbaceous_wetland
Cooper City_Flamingo West Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Cooper City_Forest Lake Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Cooper City_Jerry Morgan Park,0,0,0,0,1.10E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57E-06,-5.49E-05,1,herbaceous_wetland
