UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_South Fork Canoe Launch,0.039917128,0.026297156,0.020199821,0.067052463,0.02422957,0,0.052944097,0.074957299,0.006137701,0.004219138,0.018139298,0.00165347,0.003110917,0.002863091,0.00439916,0.00143967,0.035713812,0,0.222858718,-0.222858718,0.02963938,-0.02963938,0.031228775,0.096775228,1,mean_ndwi
Broward_Sunview Park,0.003569725,0.012069924,0.003741708,0.000719249,0.001434403,0,0.004488635,0.003173404,0.003625186,0.000423203,0.004884254,0.001864214,0.002838429,0.004514082,0.002164701,0.016627222,0.007995641,0.066666667,0.130904762,-0.064238095,0.069684989,-0.003018322,0.012094829,0.005075147,1,Indoor_Outdoor_fitness_center
Broward_Tall Cypress Natural Area,0.051356352,0.048766782,0.080743217,0,0.018263207,0,0.063040249,0.072677663,0.001384905,0.008818097,0.000569741,0.005758681,0.016099212,0.021555195,0.000134426,0.012564155,0.070171907,0.484848485,0.194789313,0.290059172,0.456245373,0.028603112,0.039144334,0.07020048,1,grassland
Broward_Topeekeegee Yugnee Park,0.045026499,0.037460327,0.029450211,0.00638084,0.052695542,0,0.02832088,0.074777555,0.0129944,0.006843112,0.015088603,0.005991,0.010592539,0,0.001243145,0.003028334,0.064133979,0.335329341,0.194548099,0.140781242,0.321882106,0.013447235,0.033903153,0.048675822,1,mean_ndwi
Broward_Tradewinds Park,0.067505551,0.048685864,0.041846181,0.036177778,0.038287812,0,0.017038919,0.072653539,0.001667797,0.025266653,0.013970562,0.00252324,0.00521375,0.003336324,0.000161092,0.004350865,0.056347582,0.53,0.199074074,0.330925926,0.517490742,0.012509258,0.027633614,0.122869383,1,mean_ndwi
Broward_Tree Tops Park,0.071916711,0.077274141,0.085330557,0.007289338,0.035765983,0,0.014195308,0.009341842,0.001826396,0.003643426,0.00363253,0.013117756,0.005440516,0.003498696,0.000597018,0.007785767,0.037173044,0.42394822,0.306835694,0.117112526,0.410097843,0.013850377,0.068740465,-0.059815036,1,grassland
Broward_Vista View Park,0.012550787,0.036216046,0.009289582,0.007532675,0.008572845,0,0.047970094,0.018822521,9.40E-05,0.026026957,0.003255019,0.002993935,0.005071739,0.027884115,0.003413615,0.003442517,0.029519519,0.287356322,0.17443609,0.112920232,0.288007106,-0.000650784,0.030329133,0.010985764,1,mean_ndvi
Broward_Washburn Park,0.008741729,0.009923714,0.014170731,0.001608822,0.013901275,0,0.015179682,0.020100758,0.01678803,0.001626854,0.00215845,0.002399772,0.00129219,0.00181409,0.00066287,0.016888662,0.011248137,0,0.048424908,-0.048424908,0.010400088,-0.010400088,0.072078493,-0.095041328,1,mean_ndwi
Broward_West Lake Park,0.044463172,0.04559362,0.016769904,0.037032721,0.023305443,0.023844194,0.034099316,0.04068653,0.012378653,0.007566392,0.117827675,0.006118562,0.007586738,0.001964983,0,0.053636455,0.072407803,0.330241187,0.441029456,-0.110788269,0.345612854,-0.015371667,0.03344321,0.400526975,1,Body_of_water
Broward_Woodmont Natural Area,0.019184341,0.014428741,0.023743943,4.52E-05,0.008861779,0,0.018243438,0.027700391,0.036954778,0.00251881,0.0065666,0.001195366,0.003206333,0.00530345,0.00155281,0.013860344,0.039893587,0.363636364,0.466666667,-0.103030303,0.364625693,-0.000989329,0.028749806,-0.628270425,1,Biodiversity
Coconut Creek_Community Center and Fitness Center South,0.026285212,0.019484902,0.011387279,0.001610785,0.002347612,0,0.02447882,0.061641134,0.001999545,0.044497979,0.00148888,0.005606948,0.012332169,0.000299712,0.000748119,0.003282851,0.010044098,0.178571429,0.18059163,-0.002020201,0.176134564,0.002436865,0.026769163,0.213839858,1,mean_ndwi
Coconut Creek_Cypress Park,0.049108285,0.029439387,0.036054588,0.010601748,0.020222367,0,0.030288574,0.104481893,0.001154685,0.043912973,0.051983057,0.008093808,0.015475253,0.004259959,5.79E-05,0.003606302,0.055549152,0.25,0.506909475,-0.256909475,0.305992109,-0.055992109,0.035399084,-0.030938063,1,mean_ndwi
Coconut Creek_George S. Gerber Memorial Park,0.059059659,0.036429896,0.041428605,0.016672622,0.014458123,0,0.028726468,0.09123613,0.000568426,0.025511837,0.059679486,0.002517048,0.002798809,0.013552508,2.58E-05,0.003716608,0.075275596,0.09375,0.117129629,-0.023379629,0.098681731,-0.004931731,0.033275409,-0.086771226,1,mean_ndwi
Coconut Creek_Lakeside Park,0.029080522,0.062303483,0.043101485,5.85E-05,0.014485849,0,0.055527711,0.061223135,0.004528439,0.071973417,0.000310686,0.004757494,0.077229187,0.004634208,0.000805434,0.004527255,0.028882024,0.047619048,0.142794351,-0.095175303,0.068300806,-0.020681758,0.017016751,0.384788803,1,Athletic_facility
Coconut Creek_Oak Trails Park,0.075625937,0.068620578,0.052663817,0.001561021,0.003914862,0,0.047373435,0.043117853,0.00187374,0.025118828,0.000573004,0.003699543,0.076838928,0.00491192,0.012134579,0.022174157,0.016710778,0.2,0.444104361,-0.244104361,0.216795277,-0.016795277,0.037526047,0.034987376,1,Athletic_facility
Coconut Creek_Recreation Complex and Fitness Center North,0.02436439,0.0560408,0.039468185,0.000523495,0.007157106,0,0.0647056,0.061887087,0.001336083,0.050400485,0.00497525,0.002267915,0.078016908,0.002037041,0.00712222,0.014250906,0.019956294,0.0625,0.153056399,-0.090556399,0.0853142,-0.0228142,0.03353254,0.13768364,1,Athletic_facility
Coconut Creek_Rowe Activity Center and Donaldson Park,0.029129695,0.023997643,0.007189618,0.000459737,0.00698554,0,0.032812312,0.048234102,0.007585359,0.023575313,0.002656833,0.002186836,0.008118618,0.004060709,0.000783133,0.004323255,0.02670786,0.222222222,0.045238095,0.176984127,0.21718436,0.005037862,0.028444253,0.238416645,1,mean_ndwi
Coconut Creek_Sabal Pines Park,0.053931684,0.044076165,0.012582265,0.003325093,0.021458317,0,0.037308822,0.05516611,0.001560774,0.011478058,0.004329849,0.003383189,0.052995112,0.009756869,0.005437914,0.001175057,0.033987357,0.19047619,0.058779762,0.131696428,0.190843413,-0.000367223,0.040116578,0.047709139,1,mean_ndwi
Coconut Creek_Windmill Park and Dog Park,0.026723076,0.021024391,0.002491518,0,0.001937177,0,0.04941347,0.040150955,0.002279057,0.019737048,0.001538159,0.002093183,0.011659336,0.007598671,0.000617459,0.001162915,0.012786262,0.142857143,0.143434343,-0.0005772,0.144032877,-0.001175734,0.047786875,0.099631911,1,mean_ndvi
Coconut Creek_Winston Park Nature Trail,0.017370761,0.00496842,0.014897011,0,0.007046864,0,0.014002204,0.026174399,0.001909444,0.032514711,0.002284025,0.001045705,0.025906331,0.001227397,0.00369551,0.000936143,0.005269426,0.115384615,0.497916667,-0.382532052,0.124737286,-0.009352671,0.035858708,-0.069205761,1,Kids_Playground
Cooper City_Bill Lips Sports Complex,0.068997681,0.079196312,0.048169594,0.000162874,0.01326321,0,0.033217006,0.03581938,0.000266746,0,0.003930186,0.004949112,0.00803777,0,0,0.000505455,0.027227366,0.125,0.225301929,-0.100301929,0.14828033,-0.02328033,0.024387414,0.312592759,1,tree
Cooper City_Chase Park,0.095699919,0.063666365,0.071887575,0.019958719,0.041823109,0,0.035396033,0.068742706,0.003160006,0.00282885,0.008206402,0.014460461,0.010899782,4.45E-05,0.001984074,0.02703983,0.152579845,0,0.093382848,-0.093382848,0.02550506,-0.02550506,0.07482114,-0.139893052,1,Biodiversity
Cooper City_Christie Schafale Park and Dog Park,0.090230879,0.112037691,0.16061348,0.008020783,0.033253524,0,0.109660337,0.055374196,0.005723052,0.00293174,0.020210687,0.063405887,0.015674458,0.000465777,0.006080254,0.023442821,0.171914806,0.127272727,0.446269513,-0.318996786,0.171746058,-0.044473331,0.15887112,-0.61298585,1,Biodiversity
Cooper City_Dawn Park,0.14898914,0.263987182,0.106905231,0.011845051,0.046071393,0,0.138461693,0.109042124,0.00468904,0.011260783,0.003394347,0.024152315,0.016728807,0,0,0.011083123,0.131184091,0,0.523199971,-0.523199971,0.074034844,-0.074034844,0.178734701,-0.68041051,1,tree
