UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Pembroke Pines_Pasadena Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,
Pembroke Pines_Paul J. Maxwell Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,
Pembroke Pines_Pembroke Lakes Golf and Tennis Center,4.84E-08,2.99E-08,3.99E-08,1.85E-08,4.99E-08,0,1.46E-08,9.44E-09,0,0,9.97E-09,0,0,0,0,1.46E-08,0,0,0,0,0,0,1.44E-07,-0.011968524,1,herbaceous_wetland
Pembroke Pines_Pines Recreation Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Rose G. Price Park,1.38E-05,5.51E-06,0,1.29E-05,1.04E-05,0,1.57E-05,4.75E-07,4.34E-07,1.05E-06,1.47E-05,1.90E-07,3.85E-06,7.52E-06,1.80E-07,0,1.02E-05,0,0,0,0,0,4.47E-06,0.222019592,1,mean_ndvi
Pembroke Pines_Silver Lakes Park South,1.63E-06,2.86E-06,0,1.44E-06,3.23E-06,0,9.35E-07,6.34E-08,0,1.87E-07,1.58E-06,7.74E-07,1.09E-06,2.46E-06,0,0,2.35E-06,0,0,0,0,0,0.000168648,-0.01397472,1,herbaceous_wetland
Pembroke Pines_Spring Valley Park,5.56E-05,2.64E-05,5.51E-05,1.67E-06,5.94E-06,0,9.44E-05,3.08E-05,1.04E-05,8.75E-06,0,3.23E-05,2.08E-07,0,0,0,8.51E-05,0,0.01,-0.01,0.0017875,-0.0017875,0.000185834,-0.118719462,1,mean_ndvi
Pembroke Pines_Steven L. Josias Dog and Equestrian Park,5.29E-06,6.48E-06,3.16E-05,2.69E-05,1.55E-05,0,1.85E-05,3.51E-05,2.24E-08,1.37E-07,1.74E-05,2.06E-06,3.94E-06,3.90E-06,5.22E-07,1.17E-05,1.21E-05,0,0,0,0,0,0.000186623,-0.012694002,1,mean_ndwi
Pembroke Pines_Tanglewood Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Towngate Park,0.000143032,5.26E-05,0.000246858,1.71E-05,7.39E-05,0,0.000219312,8.93E-05,4.39E-09,4.09E-05,2.14E-07,2.10E-05,0,0,0,1.70E-08,8.82E-05,0,6.09E-05,-6.09E-05,0.000199659,-0.000199659,0.000229981,-0.384487618,1,grassland
Pembroke Pines_Walnut Creek Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_West Pines Soccer Park and Preserve,7.93E-06,1.18E-05,1.08E-07,6.06E-06,5.21E-06,0,6.41E-06,1.12E-06,0,3.47E-07,1.17E-05,7.31E-07,2.14E-06,7.45E-06,0,0,6.62E-06,0,0,0,0,0,2.76E-06,-0.033084873,1,tree
Pembroke Pines_William B. Armstrong Dream Park,0.000380512,0.000196439,0.000382015,3.08E-06,7.99E-05,0,0.000381765,0.000206518,5.20E-05,4.91E-05,2.03E-06,5.78E-05,8.75E-06,0,2.30E-05,1.04E-06,0.000370408,0,0,0,0.000904167,-0.000904167,0.000276247,-0.477541067,1,grassland
Plantation_Country Club Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Plantation_Deicke Park,0.000210491,7.99E-05,0.0006955,1.89E-05,0.000106478,0,0.000243714,0.000544315,0.000260326,1.16E-06,3.70E-05,1.05E-05,6.41E-07,0,0,8.01E-05,0.000523702,0,0.011904762,-0.011904762,0.001025397,-0.001025397,0.000314222,-1.084952323,1,grassland
Plantation_Fig Tree Park,0.003638026,0.001524261,0.005809959,0.003770734,0.006658818,0,0.000686142,0.000420498,0.000137898,1.53E-05,7.65E-05,0.000507619,3.96E-07,0,0,0.000400571,0.005941814,0,0.020088781,-0.020088781,0.00139844,-0.00139844,0.001404132,-0.036271176,1,herbaceous_wetland
