UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Pompano Beach_North Pompano Park,0.002293546,0.001873314,0.002756219,0,6.04E-05,0,0.000271357,0.000296756,7.20E-07,0.00100392,0,0.000284748,0.000130466,0.000494596,0,0,0.002112376,0,0.016908213,-0.016908213,0.00076087,-0.00076087,0.000985259,0.151176534,1,grassland
Pompano Beach_Sand and Spurs Equestrian Park,0.001807169,0.002424927,0.000290473,6.24E-06,0.00019512,0,0.000874004,0.000626999,0.000150169,0.000128029,0,0.002579418,0.000279291,0.001705278,2.38E-05,1.01E-05,0.00208791,0,0.010074324,-0.010074324,0.000644819,-0.000644819,0.001249231,0.178857014,1,Jog_Walk_path
Pompano Beach_Sgt. Chris Reyka Memorial Park,0.001321296,0.003526567,0.00048902,0.000120637,0.000291465,0,0.001062696,0.001790738,0.0007801,0.000239006,0,0.000930417,0.00145691,0,7.34E-05,0,0.003740162,0,0.03004118,-0.03004118,0.005528937,-0.005528937,0.001528388,-0.604694838,1,Biodiversity
Southwest Ranches_Rolling Oaks Park,0.004148529,0.017160076,0.002381618,9.44E-05,0.012456054,0,0.006061879,0.001364198,7.11E-05,0.000460067,0.000136427,4.70E-05,0.000667212,0,0.000267927,9.43E-05,0.006954979,0,0.044347826,-0.044347826,0.001624661,-0.001624661,0.004584584,-0.720098004,1,tree
Southwest Ranches_Sunshine Ranches Equestrian Park,0.000167408,0.000332905,8.82E-05,3.26E-05,0.000111062,0,0.000177317,0.000277997,0,0.000161969,2.39E-05,0,1.25E-07,0.000252077,1.55E-06,1.09E-05,0.000360615,0,0,0,0.000150478,-0.000150478,0.001144009,0.071098918,1,Biodiversity
Sunrise_City Park,3.75E-05,0.000134654,8.42E-05,8.47E-06,4.71E-05,0,0.000237299,0.000327487,1.61E-05,2.78E-05,3.58E-06,5.21E-06,3.84E-07,0,0,3.31E-06,0.000191786,0,0.005698006,-0.005698006,0.000495015,-0.000495015,0.000227914,-0.160779477,1,mean_ndwi
Sunrise_Cypress Preserve Park,0.000364308,0.000369125,0.000760359,0,0.000380087,0,0.000491043,0.000413573,8.87E-05,0.000174941,6.02E-05,0.000141911,9.03E-05,0,0,6.04E-05,0.000706478,0.009708738,0.023075984,-0.013367246,0.009372447,0.000336291,0.000469125,-0.477952841,1,grassland
Sunrise_Flamingo Park,1.69E-05,3.94E-05,2.38E-05,1.78E-05,8.30E-06,0,2.82E-05,3.26E-05,1.39E-05,0,7.23E-06,5.06E-07,1.10E-06,0,6.80E-07,5.71E-07,1.59E-05,0.01,0.002096877,0.007903123,0.008412341,0.001587659,1.27E-05,0.035718419,1,tree
Sunrise_Flamingo Road Linear Park,0.000343127,0.00034491,0.000364552,3.52E-05,6.08E-05,0,0.000356579,0.000236523,9.86E-05,5.04E-06,3.14E-05,5.53E-05,2.78E-05,0,4.22E-07,1.21E-05,7.05E-05,0,0.008151735,-0.008151735,0.000285727,-0.000285727,0.000185889,-0.045051517,1,grassland
Sunrise_Lakeside Park,0.000435161,0.000222447,0.000595756,0,0.00021785,0,0.000260003,0.000441176,5.29E-05,0.000149083,7.74E-05,2.67E-05,0.000119588,0,0,8.23E-05,0.000553497,0,0.021904762,-0.021904762,0.001651393,-0.001651393,0.0004218,-0.328858287,1,grassland
Sunrise_Nob Hill Soccer Club Park,0.00034309,0.00039697,0.000756517,2.29E-07,0.000144306,0,0.000569884,0.000419173,2.19E-06,3.26E-05,1.05E-05,8.56E-05,8.86E-06,0,1.04E-06,5.70E-06,7.69E-05,0,0.000809062,-0.000809062,0.001536049,-0.001536049,0.000204683,-0.019151448,1,grassland
Sunrise_Oak Hammock-Passive Park,0.000270053,0.000237402,0.000869634,0,0.000524301,0,0.000227184,0.000279927,7.07E-05,0.000666206,3.82E-05,0.000143197,4.55E-05,0,8.10E-07,8.86E-05,0.000395257,0.023668639,0.015855954,0.007812685,0.023710709,-4.21E-05,0.000360114,-0.156873295,1,grassland
