UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Dania Beach_Mildred V. Jones Park,0.093419024,0.206183277,0.176367663,0.023511644,0.070380728,0,0.037712365,0.051976678,0.006657381,0.018761243,0.014410511,0.035761951,0.060356984,0,0,0.030995242,0.058740754,0,0.341821306,-0.341821306,0.034299336,-0.034299336,0.067140503,-0.066614543,1,tree,,,,
Dania Beach_Ocean Park Beach,0.045604626,0.005334656,0.035725548,0.018745679,0.00934212,0.00550908,0.0298848,0.01882875,0.007109277,0.002997193,0.003843712,0.002125497,0.000521154,0.00016997,0,0.004404147,0.012570102,0.214285714,0.092752745,0.121532969,0.19895841,0.015327304,0.025519886,0.11933736,1,area,,,,
Dania Beach_Southwest Community Center,0.059832513,0.137097825,0.088722094,0.005868797,0.032095867,0.000433951,0.02978423,0.07027151,0.003046569,0.044754774,0.006057457,0.027169434,0.172939171,0.000984074,0,0.036990292,0.077004164,0,0.132916053,-0.132916053,0.019793992,-0.019793992,0.050046286,0.119792129,1,Athletic_facility,,,,
Dania Beach_Tigertail Lake Park,0.111397824,0.262060054,0.122317482,0.014519013,0.111758245,0,0.062666474,0.126038632,0.00735738,0.005396267,0.037707244,0.023526,0.00998562,0,0.000440087,0.009528188,0.064952336,0.603092784,0.263264542,0.339828242,0.584896109,0.018196675,0.077800968,-0.23998973,1,tree,,,,
Dania Beach_Whiskey Creek Hideout,0.082995863,0.078449308,0.031967669,0.039418489,0.031858665,0.010602464,0.06630168,0.056307463,0.051789038,0.006780254,0.021013706,0.002950292,0.001324427,0,0,0.016874466,0.026848203,0.469767442,0.458041988,0.011725454,0.4735074,-0.003739958,0.057894773,-0.009848847,5,area,,,,
Davie_Bergeron Park,0.178411501,0.156899439,0.163618738,0.010338783,0.03592442,0,0.039375199,0.026705191,0.018846184,0.139612312,0.013068854,0.000996606,0.014934284,0.109094053,0.000853505,0.004536402,0.049157182,0.692307692,0.73721533,-0.044907638,0.704034252,-0.01172656,0.063935376,0.06397736,1,area,,,,
Davie_Berman Park,0.203983822,0.141577789,0.184598741,0.033845327,0.033548561,0,0.065512499,0.101167888,0.001033442,0.017093523,0.035861115,0.033355522,0.022872469,0.006166314,0.002412998,0.00934191,0.070208794,1,0.458110517,0.541889483,0.948252555,0.051747445,0.068152453,-0.169420213,1,area,,,,
Davie_Betty Booth Roberts Park,0.102837956,0.055276149,0.043764624,0.004477518,0.035427793,0,0.022755191,0.069762628,0.071507112,0.024954923,0.017459253,0.007873607,0.004397508,0.00010278,0,0.003727692,0.058818423,0.392857143,0.551632284,-0.158775141,0.426371293,-0.03351415,0.064700689,-0.121433028,1,area,,,,
Davie_Davie Pine Island Park,0.164838982,0.156162183,0.175037056,0.010295824,0.110290069,0,0.064979118,0.085587173,0.00129374,0.014140395,0.015392419,0.00899175,0.027660191,0.00933339,0.003202872,0.03621496,0.085769076,0.166666667,0.557624752,-0.390958085,0.234318116,-0.067651449,0.085332339,-0.104429296,1,grassland,,,,
Davie_Driftwood Estates Park,0.136524877,0.034113157,0.104208647,0.000468769,0.001914083,0,0.040831972,0.041391021,0.015237217,0.006768983,0.003430172,0.028497695,0.005551188,0.000823212,0,0.003921435,0.062857481,0.454545455,0.375,0.079545455,0.451249336,0.003296119,0.11036735,-0.378673764,1,area,,,,
