UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Sunview Park,0.221117955,0.723842828,0.224409787,0.014998335,0.092196486,0,0.251423803,0.268489058,0.199353206,0.078465001,0.069017126,0.065678265,0.085648358,0.016434896,0.172099705,0.513266734,0.649911821,0.955036602,0.325500179,0.629536423,0.901059914,0.053976688,0.320073695,-0.387451122,1,tree
Broward_Tall Cypress Natural Area,0.115397728,0.145771916,0.096215131,0,0.019500083,0,0.0966322,0.03677535,0.002843227,0.016157453,0.000294571,0.01303371,0.009327114,0.015317256,0.000813559,0.015111799,0.096625736,1.225680045,1.06479276,0.160887285,1.215939493,0.009740552,0.119714526,-0.188948645,1,tree
Broward_Topeekeegee Yugnee Park,0.343090917,0.238652624,0.078940284,0.01601832,0.32139708,0,0.088964839,0.243805124,0.138909288,0.006960143,0.070748049,0.047045387,0.029009378,0,0.002586759,0.016376314,0.156227601,1.202538888,1.192692157,0.009846731,1.203467727,-0.000928839,0.165032784,-0.02939351,1,area
Broward_Tradewinds Park,0.093060173,0.142689069,0.083684758,0.053120688,0.100482872,0,0.055797262,0.058445797,0.020476506,0.008499345,0.018596912,0.004106766,0.003077231,0.00168501,0.00038222,0.007730891,0.086321453,1.412329618,1.028042419,0.384287199,1.388109901,0.024219717,0.053591496,-0.221012741,1,tree
Broward_Tree Tops Park,0.404877407,0.502002109,0.42046001,0.157594336,0.272870816,0,0.097471659,0.125228978,0.018490664,0.030227526,0.0901711,0.025183026,0.051994078,0.013651068,0.006640107,0.022226155,0.390303171,1.378464345,1.195625423,0.182838922,1.382311662,-0.003847317,0.124255545,0.354726878,1,tree
Broward_Vista View Park,0.215130133,0.248510762,0.064898847,0.025518047,0.072408621,0,0.168810089,0.032931213,0.001687011,0.081198753,0.046103554,0.018909507,0.060935022,0.162840618,0.004074991,0.027676257,0.172704801,1.2343939,0.978926516,0.255467384,1.237572777,-0.003178877,0.207445063,-0.004131801,2,tree
Broward_Washburn Park,0.205097642,0.267876627,0.325690973,0.146824683,0.15842065,0,0.260680056,0.344819177,0.437724657,0.055090384,0.203460629,0.099936199,0.045379433,0.01900834,0.031350474,0.180260388,0.254191366,0.366204096,0.763583248,-0.397379152,0.397915497,-0.031711401,0.448715225,-0.305227938,1,Pavilion_Picnic_Area
Broward_West Lake Park,0.401192294,0.211560376,0.056000029,0.21114702,0.106481282,0.248463094,0.160515127,0.168716321,0.027348355,0.050084691,0.476881427,0.012640891,0.049893917,0.025956035,0,0.492755362,0.286477706,1.415373243,1.470724236,-0.055350993,1.425312743,-0.0099395,0.174836401,0.241198135,1,Indoor_Outdoor_fitness_center
Broward_Woodmont Natural Area,0.083768287,0.167794231,0.044669322,0.000469628,0.097514105,0,0.137492022,0.049301245,0.002330348,0.016444625,0.013780747,0.006806435,0.017629242,0.00146127,0.013061494,0.006991355,0.129034481,1.195322212,1.198967775,-0.003645563,1.191880812,0.0034414,0.125065155,-0.150554487,1,tree
Coconut Creek_Community Center and Fitness Center South,0.059659166,0.111752337,0.021824043,0.00339128,0.00855918,0,0.041315166,0.047053978,0.003840961,0.020134439,0.013781044,0.045064461,0.019466884,0.008633069,0.002858251,0.003888736,0.027162682,0.97372347,1.013766261,-0.040042791,0.969585124,0.004138346,0.072104678,0.056141338,1,tree
Coconut Creek_Cypress Park,0.079774349,0.054577646,0.057576668,0.018635429,0.034144441,0,0.025931886,0.036457136,0.008753424,0.016351803,0.039104101,0.01397025,0.003647142,0.006775644,0.000188136,0.010835147,0.049914791,0.918133634,1.088869317,-0.170735683,0.941843918,-0.023710284,0.060597886,-0.197595928,1,area
Coconut Creek_George S. Gerber Memorial Park,0.070562917,0.06226351,0.064122623,0.046229416,0.059393907,0,0.016912594,0.042368779,0.007517089,0.01169968,0.048955848,0.00614319,0.001188231,0.007166014,0.000126539,0.007812675,0.05348331,0.911466164,1.139871487,-0.228405323,0.920336605,-0.008870441,0.048161951,-0.851416424,1,area
Coconut Creek_Lakeside Park,0.012539714,0.046326073,0.075639419,0.000638195,0.014898086,0,0.03849147,0.092698668,0.0031259,0.095295723,0.001760294,0.010106848,0.063910383,0.002435399,0.001676561,0.004487069,0.021695954,0.906181598,0.875590403,0.030591195,0.901299326,0.004882272,0.01808177,0.505961175,1,Kids_Playground
Coconut Creek_Oak Trails Park,0.028065447,0.032258004,0.072727033,0.002569575,0.002547712,0,0.054804268,0.092468869,0.001362856,0.067574296,0.008132662,0.016749433,0.014696919,0.005365266,0.008454738,0.008058082,0.07111029,1.272158122,1.080256615,0.191901507,1.250260118,0.021898004,0.030967738,0.211736786,1,mean_ndwi
Coconut Creek_Recreation Complex and Fitness Center North,0.027573923,0.047558263,0.062342446,0.001966956,0.014284674,0,0.070129271,0.103341109,0.002148051,0.073082678,0.003736091,0.008495569,0.035306549,0.002411878,0.007375015,0.001553494,0.068095145,0.79437317,1.146836223,-0.352463053,0.876010214,-0.081637044,0.025191645,0.358763412,1,mean_ndwi
Coconut Creek_Rowe Activity Center and Donaldson Park,0.062312757,0.16463136,0.031185328,0.005619417,0.01578741,0,0.095347466,0.101417734,0.012844006,0.020010848,0.020979236,0.016691609,0.021829311,0.006546102,0.001265428,0.006657814,0.051323008,1.044152335,1.014984108,0.029168227,1.039888284,0.004264051,0.069999657,0.031098508,1,tree
Coconut Creek_Sabal Pines Park,0.029287884,0.029893185,0.039170317,0.016128797,0.027727403,0,0.034195378,0.048542426,0.000260449,0.019765112,0.007440527,0.000463276,0.010303034,0.00556748,0.002947598,0.017246925,0.04159065,0.923840144,1.081808713,-0.157968569,0.92736138,-0.003521236,0.03750286,0.045250923,2,mean_ndwi
Coconut Creek_Windmill Park and Dog Park,0.075778038,0.094831866,0.023861078,0,0.016327473,0,0.067547603,0.051565333,0.004034812,0.033121999,0.006987657,0.047101573,0.026189263,0.015154953,0.000248874,0.001490127,0.040158658,1.066260456,0.794802159,0.271458297,1.060216031,0.006044425,0.074359262,-0.212327374,1,tree
Coconut Creek_Winston Park Nature Trail,0.007854527,0.010643822,0.029635927,0,0.009406478,0,0.019825197,0.026390174,0.002212762,0.018606458,0.001603679,0.000400185,0.023599812,0.002435026,0.001238593,0.010249427,0.020997341,1.057146762,0.923840144,0.133306618,1.058905872,-0.00175911,0.021692319,0.338147535,1,grassland
Cooper City_Bill Lips Sports Complex,0.67490493,0.528268422,0.348166588,0.001241451,0.253539457,0,0.172193205,0.22983527,6.57E-05,0,0.034320183,0.076149261,0.072027613,0.000557277,0,0.038543831,0.232087034,0.73562194,0.769325741,-0.033703801,0.748451776,-0.012829836,0.148349743,0.111754223,1,area
Cooper City_Chase Park,0.498248751,0.817917376,0.476251163,0.138877095,0.138458593,0,0.089663177,0.148795521,0.0157388,0.004543643,0.047916145,0.046854089,0.094190883,0.005014528,0.001802816,0.009510722,0.292464374,-2.22E-16,0.51547036,-0.51547036,0.11206975,-0.11206975,0.110279656,0.395863564,1,tree
Cooper City_Christie Schafale Park and Dog Park,0.655268579,0.788120422,0.67831154,0.034748326,0.114477686,0,0.124332584,0.083962273,0.00846527,0.013092617,0.023440793,0.060521125,0.100097507,0,0.002304802,0.010903854,0.151756685,0.977001057,1.093253451,-0.116252394,0.994763131,-0.017762074,0.150421243,0.398104069,1,tree
Cooper City_Dawn Park,0.258740848,0.521119834,0.076465268,0.009795194,0.126848425,0,0.100524479,0.059461142,0.002263488,0.008493599,0.019086166,0.041503902,0.010218153,0,0,0.016691217,0.108496628,0.636514168,0.610142793,0.026371375,0.596333153,0.040181015,0.097341992,0.458531731,1,tree
Cooper City_Diamond Head Park,0.429280528,0.662994512,0.265713911,0.116513081,0.373500972,0,0.135664633,0.1350527,0.009972996,0.004128683,0.076262508,0.035195382,0.024325285,0,0,0.022390298,0.130086126,-4.44E-16,0.614405573,-0.614405573,0.099505028,-0.099505028,0.155468919,0.274575132,1,tree
Cooper City_Ellie Kozak Park,0.732817455,0.995468579,0.246089671,0.038082669,0.247652856,0,0.19055165,0.296541164,0.020213274,0.051052019,0.075087926,0.067842047,0.016199813,0.005960549,0.004009907,0.021936891,0.151223011,-2.22E-16,0.736646748,-0.736646748,0.029412593,-0.029412593,0.172503285,0.133838377,2,tree
Cooper City_Flamingo Park,0.593555022,0.433506181,0.357343152,0.003966253,0.316999932,0,0.184565819,0.260069035,0,0.00280863,0.028025066,0.111065974,0.128527701,0.006186459,0,0.02816049,0.180758764,0.34657359,0.947154203,-0.600580613,0.394746196,-0.048172606,0.172573944,0.09073086,1,area
Cooper City_Flamingo West Park,0.595162213,0.213454642,0.353550349,0.006542347,0.360222271,0,0.287724441,0.103397505,0,0,0.027472049,0.077072642,0.175603333,0,8.78E-05,0.035284721,0.110804637,0.982324545,0.979418618,0.002905927,0.988851553,-0.006527008,0.195612335,-0.273055417,1,area
Cooper City_Forest Lake Park,0.324170696,0.268726211,0.177778744,0.002071823,0.125472753,0,0.161479434,0.116277213,3.33E-05,0,0.035555029,0.089087963,0.056152885,0,0,0.022281815,0.137310762,1.019585257,0.967151362,0.052433895,0.996272761,0.023312496,0.111748497,0.238754133,1,area
Cooper City_Jerry Morgan Park,0.349138259,0.473811905,0.147893698,0.01140373,0.096147558,0,0.147807681,0.077741306,0.013986352,0.004276683,0.011536073,0.05675586,0.005931158,0,2.76E-06,0.018505995,0.127723578,1.054920168,0.879881055,0.175039113,1.020237332,0.034682836,0.125574868,0.383943703,1,tree
Cooper City_Memorial Park,0.549655264,0.663603513,0.277780605,0.051318605,0.141637235,0,0.163523623,0.115170891,0.005910842,0.000717435,0.035634225,0.083303478,0.0969485,0,0.011050563,0.030337822,0.160491811,0.816765306,0.850447069,-0.033681763,0.827847426,-0.01108212,0.161545858,0.182391721,1,tree
Cooper City_Natalie's Cove Park,0.686264278,0.466730943,0.475382808,0.001653263,0.24413021,0,0.177091933,0.328149265,0.00043526,0.054946143,0.033494799,0.105848574,0.062860744,0.045153467,0.000197272,0.04101064,0.309913787,-2.22E-16,0.784115629,-0.784115629,0.196917475,-0.196917475,0.136932912,0.16528601,1,area
Cooper City_Pine Lake Park,0.535322607,0.448531172,0.342573891,0.110637202,0.153059511,0,0.106146168,0.108529556,0.006792065,0.003835275,0.080910807,0.024289553,0.057012592,0,0,0.024491991,0.156358063,0.636514168,0.508368565,0.128145603,0.601972373,0.034541795,0.125657399,0.345300301,1,area
Cooper City_Pool & Tennis Center Park,0.423901427,0.178507294,0.127907551,0.000379157,0.131597914,0,0.181811143,0.113786606,0.003245503,2.62E-05,0.034013943,0.097646134,0.066310658,0,0,0.030012739,0.119393383,0.971022128,0.889747207,0.081274921,0.969081,0.001941128,0.176913029,-0.092480858,1,area
Cooper City_Stirling Palm Park,0.183376082,0.203129279,0.060195061,0.011068324,0.066669757,0,0.063541961,0.059029488,0.004214964,0.001906313,0.009798871,0.044431735,0.013244681,0,0,0.010888904,0.075478479,1.002718264,0.883940875,0.118777389,0.994048254,0.00867001,0.107388787,0.388980681,1,tree
Cooper City_Suellen H. Fardelmann Sports Complex,0.150461843,0.159588674,0.043004513,0.009068205,0.071465442,0,0.048099457,0.04593342,0.004645139,0.003383882,0.006442172,0.030322195,0.012946801,0,0,0.00599021,0.051729596,0.823712383,0.60019462,0.223517763,0.801928242,0.021784141,0.127570168,0.28146531,1,tree
Cooper City_Tamarind Park,0.379480856,0.241559191,0.240477754,0.002912005,0.142654628,0,0.162776836,0.202007185,0.000505715,3.26E-05,0.032268603,0.155820168,0.074710239,0,0,0.050070759,0.208168742,1.349273538,0.85431005,0.494963488,1.240465352,0.108808186,0.150508492,-0.025284192,1,area
Cooper City_Ted Ferone Park,0.144383114,0.18199076,0.093535377,0.006679975,0.066174217,0,0.041580268,0.072811124,0.005871092,0.002375817,0.064523663,0.034674032,0.038930512,0,0,0.005724639,0.069948566,0.883586308,0.908648787,-0.025062479,0.873365626,0.010220682,0.098410484,0.422951237,1,tree
Coral Springs_Betti Stradling Park,0.165044232,0.186082989,0.156192882,0,0.265217365,0,0.148659173,0.103067322,0.058451864,0.038210554,0.025482015,0.027737169,0.019264144,0.002978829,0.000844006,0.010719109,0.201298777,0.99485409,0.628835685,0.366018405,0.991639262,0.003214828,0.147985945,0.064531447,1,herbaceous_wetland
Coral Springs_Castlewood Park,0.335099089,0.148632288,0.298561912,0.012407637,0.508904906,0,0.133671148,0.115466914,0.027096844,0.127385234,0.020147541,0.121794479,0.031892938,0,0.003231548,0.042403939,0.205856923,-4.44E-16,0.892651912,-0.892651912,0.254089989,-0.254089989,0.136950131,-0.114901659,1,herbaceous_wetland
Coral Springs_Coral Springs Aquatic Complex,0.225624426,0.144289032,0.24661189,0.030015926,0.245419735,0,0.23354984,0.135989056,0.032355811,0.132852056,0.030613072,0.074386379,0.010823819,0,0.002796729,0.131759274,0.166827909,1.544594853,0.918330131,0.626264722,1.462493192,0.082101661,0.135896046,-0.040327457,1,grassland
Coral Springs_Countrywood Park,0.095063896,0.145528864,0.030734071,0,0.01025946,0,0.148361356,0.068286245,0,0.015425153,0,0.028037343,0.012886797,0,0.003063126,0.003122731,0.074766222,0.636514168,0.88627986,-0.249765692,0.67402176,-0.037507592,0.115962821,-0.546238484,1,mean_ndvi
Coral Springs_Cypress Hammock,0.059959337,0.041580674,0.037825007,0,0.039143349,0,0.074538944,0.091144784,0,0.01475689,0.009251115,0.016059449,0.01206691,0,0.003210359,0.034557048,0.040554506,0.810712805,1.093260847,-0.282548042,0.863992293,-0.053279488,0.098484273,-0.364951065,1,mean_ndwi
Coral Springs_Cypress Park,0.062008525,0.039215812,0.042856887,0,0.044854002,0,0.081502024,0.083973341,0.000372835,0.015390706,0.00594853,0.012626334,0.005079802,0,0.005680445,0.026546482,0.042478919,1.15935076,1.06819942,0.09115134,1.135175162,0.024175598,0.087481685,-0.275725913,1,mean_ndwi
Coral Springs_Dede Gilmore Memorial Park,0.064994854,0.034920465,0.028694186,0,0.015357144,0,0.051165919,0.043472723,0.000548241,0.019914221,0.008036855,0.006753702,0.015472031,0,0,0.028556114,0.03567928,0.732408192,1.023084746,-0.290676554,0.774172142,-0.04176395,0.080964041,-0.081136575,1,area
