UGS,Aesthetic value(%),Bequest value(%),Educational value(%),Entertainment value(%),Existence value(%),Experiential use(%),Heritage value(%),Physical use(%),Scientific value(%),Symbolic value(%)
Sunrise_Cypress Preserve Park,0.203883495,0,0.009708738,0.398058252,0,0.038834951,0,0.669902913,0,0
Deerfield Beach_Pioneer Park,0.137254902,0,0,0.37254902,0,0.098039216,0.009803922,0.607843137,0,0
Broward_Tradewinds Park,0.53,0.01,0.04,0.7,0.01,0.08,0,0.46,0.01,0
Hollywood_Harry Berry Park,0.62,0.01,0,0.28,0,0.08,0,0.17,0,0
Sunrise_Flamingo Park,0.11,0,0.01,0.45,0,0.01,0,0.68,0,0
Fort Lauderdale_Earl Lifshey Park,0.683673469,0.010204082,0.010204082,0.102040816,0,0.071428571,0.020408163,0.255102041,0,0
Davie_Shenandoah Park,0.126315789,0,0.010526316,0.610526316,0,0.052631579,0,0.484210526,0,0
Fort Lauderdale_Florence C. Hardy Park,0.117021277,0,0.010638298,0.617021277,0,0.063829787,0,0.5,0,0
Miramar_River Run Park,0.180851064,0,0,0.319148936,0,0.042553191,0,0.755319149,0,0
Parkland_Pine Trails Park,0.150537634,0.010752688,0,0.602150538,0.010752688,0.032258065,0,0.440860215,0,0
Weston_Emerald Estates Park,0.27173913,0,0.02173913,0.608695652,0,0,0.010869565,0.641304348,0.02173913,0
Coral Springs_Mullins Park,0.208791209,0,0,0.318681319,0,0.032967033,0,0.681318681,0,0
Dania Beach_Frost Park,0.164705882,0,0.011764706,0.458823529,0,0.047058824,0,0.541176471,0,0
Dania Beach_Ocean Park Beach,0.678571429,0,0.011904762,0.214285714,0,0.154761905,0,0.404761905,0,0
Tamarac_Waters Edge Park,0.109756098,0,0,0.743902439,0,0.048780488,0,0.512195122,0,0
Wilton Manors_Richardson Historic Park and Nature Preserve,0.379746835,0,0.012658228,0.493670886,0,0.075949367,0.050632911,0.569620253,0,0.025316456
Fort Lauderdale_Osswald Park,0.08974359,0,0.025641026,0.346153846,0,0.064102564,0.012820513,0.628205128,0,0
Tamarac_Tamarac Veterans Park-Dog Park,0.217948718,0.012820513,0,0.525641026,0,0.08974359,0.025641026,0.474358974,0,0
Hollywood_Zinkil Park,0.148648649,0,0,0.445945946,0,0.027027027,0,0.689189189,0,0
Pompano Beach_North Ocean Park,0.630136986,0,0,0.287671233,0,0.068493151,0,0.287671233,0,0
Wilton Manors_Mickel Park,0.152777778,0,0,0.625,0,0.055555556,0,0.527777778,0,0
Coral Springs_Riverside Park,0.112676056,0,0,0.492957746,0,0.014084507,0,0.676056338,0,0
Hollywood_Poinciana Park & Poinciana Dog Park,0.169014085,0,0,0.76056338,0,0.042253521,0,0.309859155,0,0
Pompano Beach_Canine Corner Dog Park,0.183098592,0,0.014084507,0.774647887,0,0.056338028,0,0.169014085,0,0
Broward_Woodmont Natural Area,0.363636364,0,0.015151515,0.181818182,0,0.03030303,0.015151515,0.742424242,0,0.015151515
Miramar_Vizcaya Park,0.151515152,0,0,0.484848485,0,0.060606061,0,0.53030303,0,0
Hallandale Beach_Ingalls Park,0.258064516,0,0,0.338709677,0,0.112903226,0,0.548387097,0,0
Hollywood_Oak Lake Park,0.433333333,0,0.016666667,0.383333333,0,0.033333333,0,0.466666667,0,0
Oakland Park_Veterans Park,0.457627119,0,0.016949153,0.338983051,0,0.06779661,0.016949153,0.491525424,0,0
Sunrise_Sunrise Athletic Complex,0.084745763,0,0.016949153,0.474576271,0,0.050847458,0,0.677966102,0,0
Tamarac_Caporella Park,0.355932203,0,0,0.491525424,0,0.06779661,0,0.576271186,0,0
Weston_Tequestra Trace Park,0.086206897,0,0,0.413793103,0,0.034482759,0,0.637931034,0,0
Broward_Pine Island Ridge Natural Area,0.315789474,0.01754386,0.01754386,0.210526316,0,0.070175439,0.01754386,0.543859649,0.01754386,0
Dania Beach_Frank C. Tootie Adler Park,0.649122807,0.01754386,0,0.228070175,0,0.035087719,0,0.298245614,0,0
Coral Springs_North Community Park,0.125,0,0.017857143,0.303571429,0,0.071428571,0,0.785714286,0,0
Fort Lauderdale_Coontie Hatchee Park,0.357142857,0.017857143,0,0.607142857,0,0.071428571,0,0.375,0,0
Pompano Beach_Indian Mound Park,0.464285714,0,0.071428571,0.375,0,0.125,0.125,0.303571429,0.053571429,0
Cooper City_Christie Schafale Park and Dog Park,0.127272727,0,0,0.636363636,0,0.036363636,0,0.6,0,0
Pembroke Park_Raymond P. Olgesby Preserve-Pembroke Park Preserve,0.163636364,0,0,0.218181818,0,0.018181818,0,0.854545455,0,0
Pembroke Pines_Pembroke Lakes Golf and Tennis Center,0.240740741,0.018518519,0,0.703703704,0,0.018518519,0,0.111111111,0,0
